mssv,email,name,birthday
21127001,student1@unihub.edu.vn,Nguyen Van A,01012004
21127002,student2@unihub.edu.vn,Tran Thi B,15052004
21127003,student3@unihub.edu.vn,Le Van C,20102004
21127004,namhaohuynh@gmail.com,Pham Minh D,12122012
21127005,student5@unihub.edu.vn,Hoang Thi E,08082004
21127006,student6@unihub.edu.vn,Do Anh Dung,25092000
21127007,student7@unihub.edu.vn,Bui Phuong Dung,16032001
21127008,student8@unihub.edu.vn,Vu Duc Lam,13062000
21127009,student9@unihub.edu.vn,Hoang Van Quan,02072002
21127010,student10@unihub.edu.vn,Bui Duc Binh,14112003
21127011,student11@unihub.edu.vn,Dang Phuong Hanh,24112001
21127012,student12@unihub.edu.vn,Nguyen Anh Uyen,15112003
21127013,student13@unihub.edu.vn,Do Thanh Phong,10122003
21127014,student14@unihub.edu.vn,Nguyen Thanh Em,10022003
21127015,student15@unihub.edu.vn,Bui Gia Phuc,05042001
21127016,student16@unihub.edu.vn,Tran Minh Son,02112005
21127017,student17@unihub.edu.vn,Vu Gia Binh,18062002
21127018,student18@unihub.edu.vn,Phan Minh Xuan,24112005
21127019,student19@unihub.edu.vn,Do Quoc Vinh,14082005
21127020,student20@unihub.edu.vn,Vu Duc Dung,08082003
21127021,student21@unihub.edu.vn,Bui Gia Xuan,27072003
21127022,student22@unihub.edu.vn,Nguyen Thi Minh,22122000
21127023,student23@unihub.edu.vn,Phan Van Son,21102003
21127024,student24@unihub.edu.vn,Hoang Gia Ien,01082004
21127025,student25@unihub.edu.vn,Dang Anh Son,08062005
21127026,student26@unihub.edu.vn,Nguyen Quoc An,28032000
21127027,student27@unihub.edu.vn,Hoang Van An,16112003
21127028,student28@unihub.edu.vn,Le Gia Vinh,14022003
21127029,student29@unihub.edu.vn,Tran Thi Ien,15072000
21127030,student30@unihub.edu.vn,Pham Duc Nam,17092005
21127031,student31@unihub.edu.vn,Phan Gia Oanh,10062002
21127032,student32@unihub.edu.vn,Nguyen Thanh Ri,19012003
21127033,student33@unihub.edu.vn,Do Hoang Binh,05042003
21127034,student34@unihub.edu.vn,Nguyen Anh Khanh,15062004
21127035,student35@unihub.edu.vn,Hoang Quoc Uyen,10052001
21127036,student36@unihub.edu.vn,Do Van Binh,08042004
21127037,student37@unihub.edu.vn,Tran Quoc Giang,16102004
21127038,student38@unihub.edu.vn,Bui Hoang Phong,21022005
21127039,student39@unihub.edu.vn,Phan Minh Em,04072004
21127040,student40@unihub.edu.vn,Vu Gia Minh,05022001
21127041,student41@unihub.edu.vn,Do Duc Yen,17102001
21127042,student42@unihub.edu.vn,Tran Anh Ien,15122005
21127043,student43@unihub.edu.vn,Vu Thi An,06112004
21127044,student44@unihub.edu.vn,Phan Gia Tung,21082003
21127045,student45@unihub.edu.vn,Phan Anh Binh,01022004
21127046,student46@unihub.edu.vn,Dang Thanh Giang,08102000
21127047,student47@unihub.edu.vn,Pham Duc Nam,01022001
21127048,student48@unihub.edu.vn,Le Phuong Nam,05102003
21127049,student49@unihub.edu.vn,Phan Van Khanh,13062003
21127050,student50@unihub.edu.vn,Le Anh Cuong,27052005
21127051,student51@unihub.edu.vn,Phan Van Dung,04062005
21127052,student52@unihub.edu.vn,Phan Thi Minh,07012005
21127053,student53@unihub.edu.vn,Do Gia Tung,23112002
21127054,student54@unihub.edu.vn,Dang Anh Em,12062003
21127055,student55@unihub.edu.vn,Dang Hoang Phong,03072004
21127056,student56@unihub.edu.vn,Dang Thi Khanh,27052001
21127057,student57@unihub.edu.vn,Phan Thanh An,26122005
21127058,student58@unihub.edu.vn,Bui Minh An,26022004
21127059,student59@unihub.edu.vn,Pham Van Quan,15062001
21127060,student60@unihub.edu.vn,Pham Thi Em,05122001
21127061,student61@unihub.edu.vn,Nguyen Phuong Phong,16042002
21127062,student62@unihub.edu.vn,Do Anh Son,28092001
21127063,student63@unihub.edu.vn,Dang Gia Giang,23112000
21127064,student64@unihub.edu.vn,Vu Gia Son,16062005
21127065,student65@unihub.edu.vn,Bui Phuong Em,14092002
21127066,student66@unihub.edu.vn,Le Phuong An,07052004
21127067,student67@unihub.edu.vn,Bui Gia Giang,05022002
21127068,student68@unihub.edu.vn,Le Gia An,17082003
21127069,student69@unihub.edu.vn,Pham Gia Vinh,11072004
21127070,student70@unihub.edu.vn,Le Duc Cuong,08022003
21127071,student71@unihub.edu.vn,Phan Quoc Ien,12022000
21127072,student72@unihub.edu.vn,Dang Duc Xuan,04042003
21127073,student73@unihub.edu.vn,Le Van Phong,23092004
21127074,student74@unihub.edu.vn,Pham Minh Tung,04082005
21127075,student75@unihub.edu.vn,Pham Gia Phuc,16072002
21127076,student76@unihub.edu.vn,Do Anh Uyen,23082002
21127077,student77@unihub.edu.vn,Phan Phuong Vinh,22012000
21127078,student78@unihub.edu.vn,Phan Van Oanh,21102000
21127079,student79@unihub.edu.vn,Vu Van Yen,10092002
21127080,student80@unihub.edu.vn,Le Gia Khanh,13012001
21127081,student81@unihub.edu.vn,Bui Van Xuan,13102004
21127082,student82@unihub.edu.vn,Dang Thi Dung,15042002
21127083,student83@unihub.edu.vn,Do Thi Ien,02092001
21127084,student84@unihub.edu.vn,Phan Van Oanh,13112004
21127085,student85@unihub.edu.vn,Phan Hoang Giang,14102005
21127086,student86@unihub.edu.vn,Nguyen Phuong Quan,01012001
21127087,student87@unihub.edu.vn,Do Minh Ien,08062000
21127088,student88@unihub.edu.vn,Phan Phuong Tung,08012003
21127089,student89@unihub.edu.vn,Pham Quoc Em,09032003
21127090,student90@unihub.edu.vn,Hoang Hoang Em,04022001
21127091,student91@unihub.edu.vn,Nguyen Minh Nam,14082004
21127092,student92@unihub.edu.vn,Do Van Minh,21082001
21127093,student93@unihub.edu.vn,Tran Quoc Lam,09082002
21127094,student94@unihub.edu.vn,Bui Gia Dung,12012002
21127095,student95@unihub.edu.vn,Bui Gia Hanh,27102002
21127096,student96@unihub.edu.vn,Vu Thanh Giang,21022005
21127097,student97@unihub.edu.vn,Tran Phuong Ien,27122003
21127098,student98@unihub.edu.vn,Tran Quoc Giang,18012005
21127099,student99@unihub.edu.vn,Le Hoang Yen,17122003
21127100,student100@unihub.edu.vn,Pham Hoang Giang,05102002
21127101,student101@unihub.edu.vn,Dang Anh Ri,13112004
21127102,student102@unihub.edu.vn,Bui Thi Quan,03082003
21127103,student103@unihub.edu.vn,Nguyen Duc An,11092005
21127104,student104@unihub.edu.vn,Pham Minh Yen,26042003
21127105,student105@unihub.edu.vn,Phan Anh Hanh,02102002
21127106,student106@unihub.edu.vn,Le Thi An,07052000
21127107,student107@unihub.edu.vn,Bui Gia Son,20112000
21127108,student108@unihub.edu.vn,Vu Anh Vinh,07112000
21127109,student109@unihub.edu.vn,Vu Minh Tung,20072000
21127110,student110@unihub.edu.vn,Pham Quoc Hanh,18042003
21127111,student111@unihub.edu.vn,Nguyen Phuong Nam,11122001
21127112,student112@unihub.edu.vn,Dang Thi Ien,01012001
21127113,student113@unihub.edu.vn,Tran Phuong Xuan,08052001
21127114,student114@unihub.edu.vn,Le Anh Cuong,12012001
21127115,student115@unihub.edu.vn,Tran Minh Binh,23012001
21127116,student116@unihub.edu.vn,Hoang Duc Em,26042000
21127117,student117@unihub.edu.vn,Vu Thanh Binh,14082000
21127118,student118@unihub.edu.vn,Bui Phuong Quan,11022004
21127119,student119@unihub.edu.vn,Do Duc Cuong,17012000
21127120,student120@unihub.edu.vn,Tran Phuong Nam,26112000
21127121,student121@unihub.edu.vn,Tran Phuong Phuc,13122005
